Reaction ID,Transcript abundance,Subsystem,Stoichiometry,Lower bound,Upper bound,RegrEx (no hexose uptake),FVA_min (no hexose uptake),FVA_max (no hexose uptake),Parsimonious (no hexose uptake),RegrEx (hexose uptake),Parsimonious (hexose uptake)
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_SE_l,0.022013716,fattyacidbiosynthesisinitiationI,ACETYL_COA_p_SE_l + 0.9 ATP_p_SE_l + HCO3_p_SE_l + 0.1 aATP_p_SE_l --> 0.8 ADP_p_SE_l + MALONYL_COA_p_SE_l + 0.9 PROTON_p_SE_l + Pi_p_SE_l + 0.2 aADP_p_SE_l,0,50,0,0,-5.36E-12,0,0,0
ACETYLGLUTKIN_RXN_p_CC_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",ACETYL_GLU_p_CC_d + 0.9 ATP_p_CC_d + 0.1 PROTON_p_CC_d + 0.1 aATP_p_CC_d --> 0.8 ADP_p_CC_d + N_ACETYL_GLUTAMYL_P_p_CC_d + 0.2 aADP_p_CC_d,0,10,0,0,-4.06E-11,0.000118851,0,0
ACETYLGLUTKIN_RXN_p_MC_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",ACETYL_GLU_p_MC_d + 0.9 ATP_p_MC_d + 0.1 PROTON_p_MC_d + 0.1 aATP_p_MC_d --> 0.8 ADP_p_MC_d + N_ACETYL_GLUTAMYL_P_p_MC_d + 0.2 aADP_p_MC_d,0,1000,0,0,-1.60E-11,0,0,0
ACETYLGLUTKIN_RXN_p_pSE_l,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",ACETYL_GLU_p_pSE_l + 0.9 ATP_p_pSE_l + 0.1 PROTON_p_pSE_l + 0.1 aATP_p_pSE_l --> 0.8 ADP_p_pSE_l + N_ACETYL_GLUTAMYL_P_p_pSE_l + 0.2 aADP_p_pSE_l,0,60,0,0,-3.07E-11,0,0,0
ACETYLGLUTKIN_RXN_p_SE_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",ACETYL_GLU_p_SE_d + 0.9 ATP_p_SE_d + 0.1 PROTON_p_SE_d + 0.1 aATP_p_SE_d --> 0.8 ADP_p_SE_d + N_ACETYL_GLUTAMYL_P_p_SE_d + 0.2 aADP_p_SE_d,0,50,0,0,-4.15E-11,0,0,0
ACETYLGLUTKIN_RXN_p_SE_l,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",ACETYL_GLU_p_SE_l + 0.9 ATP_p_SE_l + 0.1 PROTON_p_SE_l + 0.1 aATP_p_SE_l --> 0.8 ADP_p_SE_l + N_ACETYL_GLUTAMYL_P_p_SE_l + 0.2 aADP_p_SE_l,0,50,0,0,0.000121228,0,0,0
ACETYLORNTRANSAM_RXN_p_CC_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",CPD_469_p_CC_d + GLT_p_CC_d --> 2_KETOGLUTARATE_p_CC_d + N_ALPHA_ACETYLORNITHINE_p_CC_d,0,10,0,0,-4.07E-11,0.000118851,0,0
ACETYLORNTRANSAM_RXN_p_MC_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",CPD_469_p_MC_d + GLT_p_MC_d --> 2_KETOGLUTARATE_p_MC_d + N_ALPHA_ACETYLORNITHINE_p_MC_d,0,1000,0,0,-4.44E-11,0,0,0
ACETYLORNTRANSAM_RXN_p_pSE_l,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",CPD_469_p_pSE_l + GLT_p_pSE_l --> 2_KETOGLUTARATE_p_pSE_l + N_ALPHA_ACETYLORNITHINE_p_pSE_l,0,60,0,0,0,0,0,0
ACETYLORNTRANSAM_RXN_p_SE_d,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",CPD_469_p_SE_d + GLT_p_SE_d --> 2_KETOGLUTARATE_p_SE_d + N_ALPHA_ACETYLORNITHINE_p_SE_d,0,50,0,0,-6.33E-10,0,0,0
ACETYLORNTRANSAM_RXN_p_SE_l,,"argininebiosynthesisIII, ornithinebiosynthesis, argininebiosynthesisII(acetylcycle)",CPD_469_p_SE_l + GLT_p_SE_l --> 2_KETOGLUTARATE_p_SE_l + N_ALPHA_ACETYLORNITHINE_p_SE_l,0,50,0,0,0.000121228,0,0,0
ACETYLSERINE_c_CC_SE_d,,,ACETYLSERINE_c_CC_d <=> ACETYLSERINE_c_SE_d,-10,10,0,9.41E-13,-7.81E-12,0,0,0
ACETYLSERINE_c_CC_SE_l,,,ACETYLSERINE_c_CC_l <=> ACETYLSERINE_c_SE_l,-10,10,0,4.26E-12,0,0,0,0
ACETYLSERINE_c_SE_pSE_d,,,ACETYLSERINE_c_SE_d --> ACETYLSERINE_c_pSE_d,0,50,0,0,-7.81E-12,0,0,0
ACETYLSERINE_c_SE_pSE_l,,,ACETYLSERINE_c_SE_l --> ACETYLSERINE_c_pSE_l,0,50,0,4.27E-12,0,0,0,0
aCIT_v_dielTransfer_pSE,,dieltransfer,aCIT_v_pSE_l <=> aCIT_v_pSE_d,-1000,1000,0,0,0,0,0,0
ACONITATEDEHYDR_RXN_c_CC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_c_CC_d <=> CIS_ACONITATE_c_CC_d + WATER_c_CC_d,-10,10,0,-10,10,0.004283847,0,0.020917222
ACONITATEDEHYDR_RXN_c_MC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_c_MC_d <=> CIS_ACONITATE_c_MC_d + WATER_c_MC_d,-1000,1000,0,-999.7067051,1000,0,0,0
ACONITATEDEHYDR_RXN_c_pSE_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_c_pSE_l <=> CIS_ACONITATE_c_pSE_l + WATER_c_pSE_l,-60,60,0,-59.88624422,60,0.012308549,0,0.003829791
ACONITATEDEHYDR_RXN_c_SE_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_c_SE_l <=> CIS_ACONITATE_c_SE_l + WATER_c_SE_l,-50,50,0,-50,50,0,0.008693552,0
ACONITATEDEHYDR_RXN_m_CC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_m_CC_d <=> CIS_ACONITATE_m_CC_d + WATER_m_CC_d,-10,10,0,-10,10,0.009292206,0,0
ACONITATEDEHYDR_RXN_m_CC_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_m_CC_l <=> CIS_ACONITATE_m_CC_l + WATER_m_CC_l,-10,10,0,-10,10,0,0,0
ACONITATEDEHYDR_RXN_m_pSE_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_m_pSE_d <=> CIS_ACONITATE_m_pSE_d + WATER_m_pSE_d,-60,60,0,-59.9155745,60,0.083750135,0.084433815,0
ACONITATEDEHYDR_RXN_m_SE_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIT_m_SE_d <=> CIS_ACONITATE_m_SE_d + WATER_m_SE_d,-50,50,0,-50,50,0,0,0
ACONITATEHYDR_RXN_c_CC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_CC_d + WATER_c_CC_d <=> THREO_DS_ISO_CITRATE_c_CC_d,-10,10,0,-10,10,0,0,0
ACONITATEHYDR_RXN_c_CC_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_CC_l + WATER_c_CC_l <=> THREO_DS_ISO_CITRATE_c_CC_l,-10,10,0,-10,10,0,-0.029207818,-0.101691731
ACONITATEHYDR_RXN_c_MC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_MC_d + WATER_c_MC_d <=> THREO_DS_ISO_CITRATE_c_MC_d,-1000,1000,0,-999.7067051,1000,0,0,0
ACONITATEHYDR_RXN_c_pSE_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_pSE_d + WATER_c_pSE_d <=> THREO_DS_ISO_CITRATE_c_pSE_d,-60,60,0,-59.9155745,60,0,0,0
ACONITATEHYDR_RXN_c_pSE_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_pSE_l + WATER_c_pSE_l <=> THREO_DS_ISO_CITRATE_c_pSE_l,-60,60,0,-59.88624422,60,0,0,0
ACONITATEHYDR_RXN_c_SE_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_SE_d + WATER_c_SE_d <=> THREO_DS_ISO_CITRATE_c_SE_d,-50,50,0,-50,50,0,0,0
ACONITATEHYDR_RXN_c_SE_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_c_SE_l + WATER_c_SE_l <=> THREO_DS_ISO_CITRATE_c_SE_l,-50,50,0,-50,50,0,0,0
ACONITATEHYDR_RXN_m_CC_d,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_m_CC_d + WATER_m_CC_d <=> THREO_DS_ISO_CITRATE_m_CC_d,-10,10,0,-10,10,0.013576052,0,0.020917222
ACONITATEHYDR_RXN_m_CC_l,,"glyoxylatecycle, TCAcyclevariationIII(eukaryotic), TCAcyclevariationIV",CIS_ACONITATE_m_CC_l + WATER_m_CC_l <=> THREO_DS_ISO_CITRATE_m_CC_l,-10,10,0,-10,10,0,0,0
aCPD_406_c_CC_SE_d,,,aCPD_406_c_CC_d <=> aCPD_406_c_SE_d,-10,10,0,0,0,0,0,0
aCPD_406_c_CC_SE_l,,,aCPD_406_c_CC_l <=> aCPD_406_c_SE_l,-10,10,0,0,0,0,0,0
aCPD_406_c_SE_pSE_d,,,aCPD_406_c_SE_d --> aCPD_406_c_pSE_d,0,50,0,0,0,0,0,0
aCPD_406_c_SE_pSE_l,,,aCPD_406_c_SE_l --> aCPD_406_c_pSE_l,0,50,0,0,-1.20E-12,0,0,0
aCPD_5441_c_CC_SE_d,,,aCPD_5441_c_CC_d <=> aCPD_5441_c_SE_d,-10,10,0,0,0,0,0,0
aCPD_5441_c_CC_SE_l,,,aCPD_5441_c_CC_l <=> aCPD_5441_c_SE_l,-10,10,0,0,0,0,0,0
aCPD_5441_c_SE_pSE_d,,,aCPD_5441_c_SE_d --> aCPD_5441_c_pSE_d,0,50,0,0,0,0,0,0
aCPD_5441_c_SE_pSE_l,,,aCPD_5441_c_SE_l --> aCPD_5441_c_pSE_l,0,50,0,0,0,0,0,0
aCPD_7616_c_CC_SE_d,,,aCPD_7616_c_CC_d <=> aCPD_7616_c_SE_d,-10,10,0,0,0,0,0,0
aCPD_7616_c_CC_SE_l,,,aCPD_7616_c_CC_l <=> aCPD_7616_c_SE_l,-10,10,0,0,0,0,0,0
aCPD_7616_c_SE_pSE_d,,,aCPD_7616_c_SE_d --> aCPD_7616_c_pSE_d,0,50,0,0,0,0,0,0
aCPD_7616_c_SE_pSE_l,,,aCPD_7616_c_SE_l --> aCPD_7616_c_pSE_l,0,50,0,0,0,0,0,0
ACSERLY_RXN_c_CC_d,,cysteinebiosynthesisI,ACETYLSERINE_c_CC_d + 0.85 HS_c_CC_d + 0.15 aHS_c_CC_d --> ACET_c_CC_d + CYS_c_CC_d + 0.15 PROTON_c_CC_d,0,10,0,0,-3.58E-12,0,0,0
ACSERLY_RXN_c_CC_l,,cysteinebiosynthesisI,ACETYLSERINE_c_CC_l + 0.85 HS_c_CC_l + 0.15 aHS_c_CC_l --> ACET_c_CC_l + CYS_c_CC_l + 0.15 PROTON_c_CC_l,0,10,0,0,6.72E-11,0,0,0
ACSERLY_RXN_c_MC_d,,cysteinebiosynthesisI,ACETYLSERINE_c_MC_d + 0.85 HS_c_MC_d + 0.15 aHS_c_MC_d --> ACET_c_MC_d + CYS_c_MC_d + 0.15 PROTON_c_MC_d,0,1000,0,0,-2.11E-12,0,0,0
ACSERLY_RXN_c_MC_l,0.373725306,cysteinebiosynthesisI,ACETYLSERINE_c_MC_l + 0.85 HS_c_MC_l + 0.15 aHS_c_MC_l --> ACET_c_MC_l + CYS_c_MC_l + 0.15 PROTON_c_MC_l,0,1000,0,0,5.46E-12,0,0,0
ACSERLY_RXN_c_pSE_d,,cysteinebiosynthesisI,ACETYLSERINE_c_pSE_d + 0.85 HS_c_pSE_d + 0.15 aHS_c_pSE_d --> ACET_c_pSE_d + CYS_c_pSE_d + 0.15 PROTON_c_pSE_d,0,60,0,0,-2.03E-12,0,0,0
ACSERLY_RXN_c_pSE_l,,cysteinebiosynthesisI,ACETYLSERINE_c_pSE_l + 0.85 HS_c_pSE_l + 0.15 aHS_c_pSE_l --> ACET_c_pSE_l + CYS_c_pSE_l + 0.15 PROTON_c_pSE_l,0,60,0,0,-3.22E-12,0,0,0
ACSERLY_RXN_c_SE_d,,cysteinebiosynthesisI,ACETYLSERINE_c_SE_d + 0.85 HS_c_SE_d + 0.15 aHS_c_SE_d --> ACET_c_SE_d + CYS_c_SE_d + 0.15 PROTON_c_SE_d,0,50,0,0,0,0,0,0
ACSERLY_RXN_c_SE_l,,cysteinebiosynthesisI,ACETYLSERINE_c_SE_l + 0.85 HS_c_SE_l + 0.15 aHS_c_SE_l --> ACET_c_SE_l + CYS_c_SE_l + 0.15 PROTON_c_SE_l,0,50,0,0,-3.91E-10,0,0,0
ACSERLY_RXN_p_CC_d,,cysteinebiosynthesisI,ACETYLSERINE_p_CC_d + HS_p_CC_d --> ACET_p_CC_d + CYS_p_CC_d,0,10,0,0,-7.30E-12,0,0,0
ACSERLY_RXN_p_CC_l,,cysteinebiosynthesisI,ACETYLSERINE_p_CC_l + HS_p_CC_l --> ACET_p_CC_l + CYS_p_CC_l,0,10,0,0,-1.91E-11,0,0,0
ACSERLY_RXN_p_MC_d,,cysteinebiosynthesisI,ACETYLSERINE_p_MC_d + HS_p_MC_d --> ACET_p_MC_d + CYS_p_MC_d,0,1000,0,0,3.44E-12,0,0,0
ACSERLY_RXN_p_pSE_d,,cysteinebiosynthesisI,ACETYLSERINE_p_pSE_d + HS_p_pSE_d --> ACET_p_pSE_d + CYS_p_pSE_d,0,60,0,0,-2.52E-12,0,0,0
ACSERLY_RXN_p_pSE_l,,cysteinebiosynthesisI,ACETYLSERINE_p_pSE_l + HS_p_pSE_l --> ACET_p_pSE_l + CYS_p_pSE_l,0,60,0,0,-3.41E-12,0,0,0
ACSERLY_RXN_p_SE_d,,cysteinebiosynthesisI,ACETYLSERINE_p_SE_d + HS_p_SE_d --> ACET_p_SE_d + CYS_p_SE_d,0,50,0,0,-2.69E-12,0,0,0
ACSERLY_RXN_p_SE_l,,cysteinebiosynthesisI,ACETYLSERINE_p_SE_l + HS_p_SE_l --> ACET_p_SE_l + CYS_p_SE_l,0,50,0,2.84E-11,-1.04E-11,0,0,0
aDELTA3_ISOPENTENYL_PP_c_CC_SE_d,,,aDELTA3_ISOPENTENYL_PP_c_CC_d <=> aDELTA3_ISOPENTENYL_PP_c_SE_d,-10,10,0,0,0,0,0,0
aDELTA3_ISOPENTENYL_PP_c_CC_SE_l,,,aDELTA3_ISOPENTENYL_PP_c_CC_l <=> aDELTA3_ISOPENTENYL_PP_c_SE_l,-10,10,0,0,0,0,0,0
aDELTA3_ISOPENTENYL_PP_c_SE_pSE_d,,,aDELTA3_ISOPENTENYL_PP_c_SE_d --> aDELTA3_ISOPENTENYL_PP_c_pSE_d,0,50,0,0,0,0,0,0
aDELTA3_ISOPENTENYL_PP_c_SE_pSE_l,,,aDELTA3_ISOPENTENYL_PP_c_SE_l --> aDELTA3_ISOPENTENYL_PP_c_pSE_l,0,50,0,1.01E-11,0,0,0,0
ADENOSINE_c_CC_SE_d,,,ADENOSINE_c_CC_d <=> ADENOSINE_c_SE_d,-10,10,0,0,0,0,0,0
ADENOSINE_c_CC_SE_l,,,ADENOSINE_c_CC_l <=> ADENOSINE_c_SE_l,-10,10,0,0,0,0,0,0
ADENOSINE_c_SE_pSE_d,,,ADENOSINE_c_SE_d --> ADENOSINE_c_pSE_d,0,50,0,0,0,0,0,0
ADENOSINE_c_SE_pSE_l,,,ADENOSINE_c_SE_l --> ADENOSINE_c_pSE_l,0,50,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_CC_d,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_CC_d + 0.65 ATP_c_CC_d + 0.35 aATP_c_CC_d --> 0.5 ADP_c_CC_d + AMP_c_CC_d + 0.85 PROTON_c_CC_d + 0.5 aADP_c_CC_d,0,10,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_CC_l,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_CC_l + 0.65 ATP_c_CC_l + 0.35 aATP_c_CC_l --> 0.5 ADP_c_CC_l + AMP_c_CC_l + 0.85 PROTON_c_CC_l + 0.5 aADP_c_CC_l,0,10,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_MC_d,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_MC_d + 0.65 ATP_c_MC_d + 0.35 aATP_c_MC_d --> 0.5 ADP_c_MC_d + AMP_c_MC_d + 0.85 PROTON_c_MC_d + 0.5 aADP_c_MC_d,0,1000,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_MC_l,0.373725306,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_MC_l + 0.65 ATP_c_MC_l + 0.35 aATP_c_MC_l --> 0.5 ADP_c_MC_l + AMP_c_MC_l + 0.85 PROTON_c_MC_l + 0.5 aADP_c_MC_l,0,1000,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_pSE_d,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_pSE_d + 0.65 ATP_c_pSE_d + 0.35 aATP_c_pSE_d --> 0.5 ADP_c_pSE_d + AMP_c_pSE_d + 0.85 PROTON_c_pSE_d + 0.5 aADP_c_pSE_d,0,60,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_pSE_l,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_pSE_l + 0.65 ATP_c_pSE_l + 0.35 aATP_c_pSE_l --> 0.5 ADP_c_pSE_l + AMP_c_pSE_l + 0.85 PROTON_c_pSE_l + 0.5 aADP_c_pSE_l,0,60,0,0,0,0,0,0
ADENOSINE_KINASE_RXN_c_SE_d,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_SE_d + 0.65 ATP_c_SE_d + 0.35 aATP_c_SE_d --> 0.5 ADP_c_SE_d + AMP_c_SE_d + 0.85 PROTON_c_SE_d + 0.5 aADP_c_SE_d,0,50,0,0,-2.00E-12,0,0,0
ADENOSINE_KINASE_RXN_c_SE_l,,salvagepathwaysofpurinenucleosidesII(plant),ADENOSINE_c_SE_l + 0.65 ATP_c_SE_l + 0.35 aATP_c_SE_l --> 0.5 ADP_c_SE_l + AMP_c_SE_l + 0.85 PROTON_c_SE_l + 0.5 aADP_c_SE_l,0,50,0,0,0,0,0,0
ADENOSYL_HOMO_CYS_c_CC_SE_d,,,ADENOSYL_HOMO_CYS_c_CC_d <=> ADENOSYL_HOMO_CYS_c_SE_d,-10,10,0,0,0,0,0,0
ADENOSYL_HOMO_CYS_c_CC_SE_l,,,ADENOSYL_HOMO_CYS_c_CC_l <=> ADENOSYL_HOMO_CYS_c_SE_l,-10,10,0,8.23E-13,0,0,0,0
ADENOSYL_HOMO_CYS_c_SE_pSE_d,,,ADENOSYL_HOMO_CYS_c_SE_d --> ADENOSYL_HOMO_CYS_c_pSE_d,0,50,0,0,2.39E-09,0,0,0
ADENOSYL_HOMO_CYS_c_SE_pSE_l,,,ADENOSYL_HOMO_CYS_c_SE_l --> ADENOSYL_HOMO_CYS_c_pSE_l,0,50,0,0,-1.93E-11,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_CC_d,,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_CC_d + WATER_c_CC_d --> ADENOSINE_c_CC_d + HOMO_CYS_c_CC_d,0,10,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_CC_l,0.00985273,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_CC_l + WATER_c_CC_l --> ADENOSINE_c_CC_l + HOMO_CYS_c_CC_l,0,10,0,0,1.74E-11,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_MC_d,,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_MC_d + WATER_c_MC_d --> ADENOSINE_c_MC_d + HOMO_CYS_c_MC_d,0,1000,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_MC_l,0.373725306,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_MC_l + WATER_c_MC_l --> ADENOSINE_c_MC_l + HOMO_CYS_c_MC_l,0,1000,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_pSE_d,,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_pSE_d + WATER_c_pSE_d --> ADENOSINE_c_pSE_d + HOMO_CYS_c_pSE_d,0,60,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_pSE_l,0.00985273,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_pSE_l + WATER_c_pSE_l --> ADENOSINE_c_pSE_l + HOMO_CYS_c_pSE_l,0,60,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_SE_d,,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_SE_d + WATER_c_SE_d --> ADENOSINE_c_SE_d + HOMO_CYS_c_SE_d,0,50,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN_c_SE_l,0.00985273,"methioninedegradationI(tohomocysteine), less_thanigreater_thanSless_than/igreater_than-adenosyl-L-methioninecycle",ADENOSYL_HOMO_CYS_c_SE_l + WATER_c_SE_l --> ADENOSINE_c_SE_l + HOMO_CYS_c_SE_l,0,50,0,0,0,0,0,0
ADENYL_KIN_RXN_c_CC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_CC_d + 0.65 ATP_c_CC_d + 0.65 PROTON_c_CC_d + 0.35 aATP_c_CC_d <=> ADP_c_CC_d + aADP_c_CC_d,-10,10,0,-5.593645825,10,0,0,0
ADENYL_KIN_RXN_c_CC_l,0.024458851,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_CC_l + 0.65 ATP_c_CC_l + 0.65 PROTON_c_CC_l + 0.35 aATP_c_CC_l <=> ADP_c_CC_l + aADP_c_CC_l,-10,10,0,1.96E-11,0.155859566,0.003362435,0.024458851,0
ADENYL_KIN_RXN_c_MC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_MC_d + 0.65 ATP_c_MC_d + 0.65 PROTON_c_MC_d + 0.35 aATP_c_MC_d <=> ADP_c_MC_d + aADP_c_MC_d,-1000,1000,0,-501.8242158,998.1757842,0,0,0
ADENYL_KIN_RXN_c_MC_l,0.489177022,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_MC_l + 0.65 ATP_c_MC_l + 0.65 PROTON_c_MC_l + 0.35 aATP_c_MC_l <=> ADP_c_MC_l + aADP_c_MC_l,-1000,1000,0,4.29E-12,1.038039543,0,0,0
ADENYL_KIN_RXN_c_pSE_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_pSE_d + 0.65 ATP_c_pSE_d + 0.65 PROTON_c_pSE_d + 0.35 aATP_c_pSE_d <=> ADP_c_pSE_d + aADP_c_pSE_d,-60,60,0,-30.58372119,59.41715013,0,0,0
ADENYL_KIN_RXN_c_SE_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_c_SE_d + 0.65 ATP_c_SE_d + 0.65 PROTON_c_SE_d + 0.35 aATP_c_SE_d <=> ADP_c_SE_d + aADP_c_SE_d,-50,50,0,-25.62447083,50,0,0,0
ADENYL_KIN_RXN_m_SE_l,0.024458851,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_m_SE_l + 0.9 ATP_m_SE_l + 0.3 PROTON_m_SE_l + 0.1 aATP_m_SE_l <=> 1.6 ADP_m_SE_l + 0.4 aADP_m_SE_l,-50,50,0,3.50E-11,0.125034555,0.0189,0.0189,0.0189
ADENYL_KIN_RXN_p_CC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_p_CC_d + 0.9 ATP_p_CC_d + 0.3 PROTON_p_CC_d + 0.1 aATP_p_CC_d <=> 1.6 ADP_p_CC_d + 0.4 aADP_p_CC_d,-10,10,0,-5,-4.94E-10,0.000178277,0,0
ADENYL_KIN_RXN_p_MC_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_p_MC_d + 0.9 ATP_p_MC_d + 0.3 PROTON_p_MC_d + 0.1 aATP_p_MC_d <=> 1.6 ADP_p_MC_d + 0.4 aADP_p_MC_d,-1000,1000,0,-500,3.95E-10,0,0,0
ADENYL_KIN_RXN_p_pSE_l,0.024458851,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_p_pSE_l + 0.9 ATP_p_pSE_l + 0.3 PROTON_p_pSE_l + 0.1 aATP_p_pSE_l <=> 1.6 ADP_p_pSE_l + 0.4 aADP_p_pSE_l,-60,60,0,2.47E-11,-1.53E-11,0.001002809,0,0.000806272
ADENYL_KIN_RXN_p_SE_d,,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_p_SE_d + 0.9 ATP_p_SE_d + 0.3 PROTON_p_SE_d + 0.1 aATP_p_SE_d <=> 1.6 ADP_p_SE_d + 0.4 aADP_p_SE_d,-50,50,0,-25,7.33E-10,6.69E-05,0,0
ADENYL_KIN_RXN_p_SE_l,0.024458851,adenosinenucleotidesless_thanigreater_thandenovoless_than/igreater_thanbiosynthesis,AMP_p_SE_l + 0.9 ATP_p_SE_l + 0.3 PROTON_p_SE_l + 0.1 aATP_p_SE_l <=> 1.6 ADP_p_SE_l + 0.4 aADP_p_SE_l,-50,50,0,3.17E-11,0.130578252,0,0,0
